DATE,COVID
11/25/2021,351155
11/26/2021,351155
11/27/2021,351155
11/28/2021,351155
11/29/2021,352555
11/30/2021,353136
12/1/2021,353721
12/2/2021,354432
12/3/2021,354924
12/4/2021,354924
12/5/2021,354924
12/6/2021,356182
12/7/2021,356733
12/8/2021,357282
12/9/2021,358267
12/10/2021,358791
12/11/2021,358791
12/12/2021,358791
12/13/2021,360035
12/14/2021,360675
12/15/2021,361235
12/16/2021,361895
12/17/2021,362894
12/18/2021,362894
12/19/2021,362894
12/20/2021,364728
12/21/2021,365790
12/22/2021,366773
12/23/2021,368020
12/24/2021,368020
12/25/2021,368020
12/26/2021,368020
12/27/2021,371690
12/28/2021,373129
12/29/2021,375560
12/30/2021,378138
12/31/2021,378138
1/1/2022,378138
1/2/2022,378138
1/3/2022,390142
1/4/2022,392388
1/5/2022,395432
1/6/2022,397247
1/7/2022,401096
1/8/2022,401096
1/9/2022,401096
1/10/2022,416544
1/11/2022,420039
1/12/2022,425188
1/13/2022,431211
1/14/2022,436128
1/15/2022,436128
1/16/2022,436128
1/17/2022,436128
1/18/2022,454773
1/19/2022,457621
1/20/2022,461535
1/21/2022,465458
1/22/2022,465458
1/23/2022,465458
1/24/2022,476972
1/25/2022,480210
1/26/2022,482680
1/27/2022,485655
1/28/2022,488299
1/29/2022,488299
1/30/2022,488299
1/31/2022,494743
2/1/2022,495884
2/2/2022,497012
2/3/2022,497970
2/4/2022,499077
2/5/2022,499077
2/6/2022,499077
2/7/2022,500830
2/8/2022,501740
2/9/2022,502618
2/10/2022,503130
2/11/2022,503722
2/12/2022,503722
2/13/2022,503722
2/14/2022,503722
2/15/2022,505151
2/16/2022,505500
2/17/2022,505658
2/18/2022,506095
2/19/2022,506095
2/20/2022,506095
2/21/2022,506095
2/22/2022,506095
2/23/2022,506950
2/24/2022,507372
2/25/2022,508796
2/26/2022,508796
2/27/2022,508796
2/28/2022,511021
3/1/2022,511181
3/2/2022,511417
3/3/2022,511645
3/4/2022,511645
3/5/2022,511645
3/6/2022,511645
3/7/2022,512571
3/8/2022,512905
3/9/2022,513436
3/10/2022,514086
3/11/2022,514620
3/12/2022,514620
3/13/2022,514620
3/14/2022,515281
3/15/2022,515281
3/16/2022,515281
3/17/2022,515281
3/18/2022,515281
3/19/2022,533423
3/20/2022,533423
3/21/2022,533423
3/22/2022,533423
3/23/2022,534168
3/24/2022,534168
3/25/2022,534168
3/26/2022,534168
3/27/2022,534168
3/28/2022,534168
3/29/2022,534168
3/30/2022,535036
3/31/2022,535036
4/1/2022,535036
4/2/2022,535036
4/3/2022,535036
4/4/2022,535036
4/5/2022,535036
4/6/2022,535929
4/7/2022,535929
4/8/2022,535929
4/9/2022,535929
4/10/2022,535929
4/11/2022,535929
4/12/2022,535929
4/13/2022,536770
4/14/2022,536770
4/15/2022,536770
4/16/2022,536770
4/17/2022,536770
4/18/2022,536770
4/19/2022,536770
4/20/2022,537776
4/21/2022,537776
4/22/2022,537776
4/23/2022,537776
4/24/2022,537776
4/25/2022,537776
4/26/2022,537776
4/27/2022,539351
4/28/2022,539351
4/29/2022,539351
4/30/2022,539351
5/1/2022,539351
5/2/2022,539351
5/3/2022,539351
5/4/2022,539351
5/5/2022,539351
5/6/2022,539351
5/7/2022,539351
5/8/2022,539351
5/9/2022,539351
5/10/2022,539351
5/11/2022,543811
5/12/2022,543811
5/13/2022,543811
5/14/2022,543811
5/15/2022,543811
5/16/2022,543811
5/17/2022,543811
5/18/2022,547316
5/19/2022,547316
5/20/2022,547316
5/21/2022,547316
5/22/2022,547316
5/23/2022,547316
5/24/2022,547316
5/25/2022,552235
5/26/2022,552235
5/27/2022,552235
5/28/2022,552235
5/29/2022,552235
5/30/2022,552235
5/31/2022,552235
6/1/2022,558036
6/2/2022,558036
6/3/2022,558036
6/4/2022,558036
6/5/2022,558036
6/6/2022,558036
6/7/2022,558036
6/8/2022,563205
6/9/2022,563205
6/10/2022,563205
6/11/2022,563205
6/12/2022,563205
6/13/2022,563205
6/14/2022,563205
